country,le,cm,region
Afghanistan,62.7,60.1,middle east
Angola,64.6,74.5,africa
Albania,78.4,8.68,europe
Andorra,82.1,2.87,africa
United Arab Emirates,73.7,7.37,middle east
Argentina,76.5,9.66,South america
Armenia,75.6,12.1,europe
Antigua and Barbuda,76.2,6.25,North America
Australia,82.9,3.59,Australia
Austria,82.1,3.37,europe
Azerbaijan,70.8,20.7,europe
Burundi,63.4,56.7,africa
Belgium,81.4,3.51,europe
Benin,64,90.9,europe
Burkina Faso,61.3,74,europe
Bangladesh,74.2,28.9,Asia
Bulgaria,73.3,6.76,europe
Bahrain,77,6.89,middle east
Bahamas,73.8,9.88,North America
